,f1-score,accuracy,precision,recall,prevalecence,rel_found,TP,TN,FP,FN,effort,f1-score std,accuracy std,precision std,recall std,prevalecence std,rel_found std,TP std,TN std,FP std,FN std,effort std,sample size
0,0.611,0.8829,0.4628,0.952,0.10290000000000002,1439.1,617.9,5767.6,815.3,31.2,51.0,0.090490883518728,0.04962952750127691,0.1123448263161237,0.04980160639979398,0.04449820221087589,410.5833532913871,31.58623117752417,383.3338492750151,383.94115434529806,32.443181101735384,0.0,10
1,0.6037,0.8808,0.4365,0.9903000000000001,0.09779999999999998,1499.5,638.5,5695.6,850.7,6.2,92.0,0.05277887835109798,0.028466822794263526,0.05515296909505417,0.008579627031520667,0.028290634492708005,211.19244778163826,5.296225070746145,208.08373314605828,207.2616944830858,5.509990925582365,0.0,10
2,0.7347,0.95,0.708,0.7944,0.0955,750.4,501.0,6270.0,225.7,130.3,156.0,0.03952480233979671,0.006737952211169183,0.07192218016717791,0.13582429826801976,0.023580712457430122,192.6744404429399,82.82994627548662,106.79513097515262,110.19260410753527,86.98971203538957,0.0,10
3,0.7053,0.9534,0.7748999999999999,0.6695999999999999,0.09079999999999999,580.0,409.7,6334.5,127.4,202.4,209.0,0.07171478229765464,0.004943682837723314,0.050355635235790654,0.13261236744738403,0.00799749960925288,131.35752738233163,80.20729393265927,48.9208544487931,50.33527590070407,81.7204992642605,0.0,10
4,0.6890000000000001,0.9554,0.8109,0.6134999999999998,0.09749999999999999,520.6,355.1,6339.5,89.0,223.4,276.0,0.05661978452802517,0.0034698703145794978,0.050172602085201835,0.10597193024570233,0.005869412236331675,99.56425061235583,62.51951695270846,41.21710809845834,39.09475668168303,60.824666049227105,0.0,10
5,0.7055999999999999,0.9584999999999997,0.7845,0.6557,0.09739999999999999,572.0,354.2,6303.8,103.0,186.0,336.0,0.04770576485080184,0.002459674775249771,0.047829384273686826,0.10428523385407927,0.0052573757712379675,96.68919277768327,56.522208024810915,40.86514407169024,40.588175618029446,56.3151844532183,0.0,10
6,0.6906,0.9587999999999999,0.7847000000000001,0.6241000000000001,0.09259999999999999,551.8,321.9,6300.1,90.9,194.1,376.0,0.03753718156708091,0.0025219040425837006,0.035606319663790034,0.08002305917671482,0.006740919818541086,69.44609420262597,40.70982682350786,26.561061725766912,28.56728898583133,41.7,0.0,10
7,0.6608,0.9583999999999999,0.7867,0.5788,0.08969999999999999,527.8,283.2,6297.8,79.4,206.6,416.0,0.05348981211408392,0.003440930106817054,0.03478232309665355,0.08957432667902115,0.0064969223483123135,70.46247228134987,41.846863681762336,21.79816506038983,25.67956385922471,45.71476785460033,0.0,10
8,0.6377999999999999,0.9582999999999998,0.7914000000000001,0.5414,0.08849999999999998,509.7,253.5,6299.6,69.3,214.6,446.0,0.04314811699251775,0.0020024984394500806,0.036431305219549834,0.07411639494740689,0.003263433774416143,56.37029359511976,35.30509878190401,23.996666435153028,22.751043932092436,34.02116987994387,0.0,10
