folder,URL
1968-1976 refugees,http://www.proquest.com/hnpglobeandmail/docview/1239956176/abstract/4A68C68F74BC4D40PQ/60
1968-1976 refugees,http://www.proquest.com/hnpglobeandmail/docview/1241730360/abstract/73877AA3F03641D4PQ/283
1968-1976 refugees,http://www.proquest.com/hnpglobeandmail/docview/1241578843/abstract/4A68C68F74BC4D40PQ/9
,
1977-2001 refugees,http://www.proquest.com/hnpglobeandmail/docview/1239192328/abstract/54FC78058F044756PQ/6
1977-2001 refugees,http://www.proquest.com/hnpglobeandmail/docview/1143852951/abstract/54FC78058F044756PQ/40
1977-2001 refugees,http://www.proquest.com/hnpglobeandmail/docview/1151396394/abstract/54FC78058F044756PQ/1
1977-2001 refugees,http://www.proquest.com/hnpglobeandmail/docview/1138233094/abstract/54FC78058F044756PQ/36
1977-2001 refugees,http://www.proquest.com/hnpglobeandmail/docview/1434981918/abstract/B79A905CD3EE479DPQ/490
1977-2001 refugees,http://www.proquest.com/hnpglobeandmail/docview/1238472069/abstract/161B3D12DB574ED1PQ/4982
1977-2001 refugees,http://www.proquest.com/hnpglobeandmail/docview/1238422404/abstract/54FC78058F044756PQ/18
,
2002-2017 refugees,http://www.proquest.com/hnpglobeandmail/docview/1444760833/abstract/808018C72E0C493APQ/2
2002-2017 refugees,http://www.proquest.com/hnpglobeandmail/docview/1411909570/abstract/88099E70D3A94D4CPQ/186
2002-2017 refugees,http://www.proquest.com/hnpglobeandmail/docview/2273261791/abstract/808018C72E0C493APQ/9
2002-2017 refugees,http://www.proquest.com/hnpglobeandmail/docview/1366120715/abstract/808018C72E0C493APQ/1
2002-2017 refugees,http://www.proquest.com/hnpglobeandmail/docview/2273303124/abstract/80EEEFF95BB0496EPQ/105
2002-2017 refugees,http://www.proquest.com/hnpglobeandmail/docview/1366105811/abstract/21DCD13223F04B26PQ/57
2002-2017 refugees,http://www.proquest.com/hnpglobeandmail/docview/1400885288/abstract/808018C72E0C493APQ/18
2002-2017 refugees,http://www.proquest.com/hnpglobeandmail/docview/1369008551/abstract/21DCD13223F04B26PQ/46
2002-2017 refugees,http://www.proquest.com/hnpglobeandmail/docview/2459966261/abstract/21DCD13223F04B26PQ/42
