,loop_no,relevant_count,irrelevant_count,accuracy,precision,recall,f1,m1_training_time,m1_prediction_time,m1_acc,m1_prec,m1_rec,m1_f1,m2_training_time,m2_prediction_time,m2_acc,m2_prec,m2_rec,m2_f1,m3_training_time,m3_prediction_time,m3_acc,m3_prec,m3_rec,m3_f1
29,29,17,278,0.9123928519540898,0.0,0.0,0.0,0.10963559150695801,1.0732753276824951,0.9123928519540898,0.0,0.0,0.0,0.3064882755279541,1.0982420444488525,0.9115211390382101,0.4897260273972603,0.23714759535655058,0.3195530726256983,0.13290715217590332,0.07944774627685547,0.9125381374400697,0.5074626865671642,0.05638474295190713,0.10149253731343284
30,30,18,287,0.9124108831660119,0.0,0.0,0.0,0.10076212882995605,1.0733652114868164,0.9124108831660119,0.0,0.0,0.0,0.2563951015472412,1.1032614707946777,0.9009166302924487,0.4135667396061269,0.313953488372093,0.35694050991501414,0.13623476028442383,0.07913780212402344,0.9124108831660119,0.0,0.0,0.0
31,31,18,297,0.9122832580504153,0.0,0.0,0.0,0.10510921478271484,1.069556713104248,0.9122832580504153,0.0,0.0,0.0,0.48976707458496094,1.090517520904541,0.9122832580504153,0.0,0.0,0.0,0.1415693759918213,0.08023452758789062,0.9122832580504153,0.0,0.0,0.0
32,32,19,306,0.9123011819641033,0.0,0.0,0.0,0.1127481460571289,1.143439769744873,0.9123011819641033,0.0,0.0,0.0,0.2540404796600342,1.094486951828003,0.8952283671384795,0.3864077669902913,0.33111480865224624,0.35663082437275984,0.14524197578430176,0.07845830917358398,0.9123011819641033,0.0,0.0,0.0
33,33,20,315,0.9123191582639193,0.0,0.0,0.0,0.11339974403381348,1.0674548149108887,0.9123191582639193,0.0,0.0,0.0,0.2628610134124756,1.09096097946167,0.9123191582639193,0.0,0.0,0.0,0.1434030532836914,0.07896113395690918,0.9121730235276926,0.0,0.0,0.0
34,34,21,324,0.9123371871798625,0.0,0.0,0.0,0.11826324462890625,1.0636119842529297,0.9123371871798625,0.0,0.0,0.0,0.2677440643310547,1.247791051864624,0.9123371871798625,0.0,0.0,0.0,0.1529381275177002,0.0788719654083252,0.9123371871798625,0.0,0.0,0.0
35,35,22,333,0.9123552689432801,0.0,0.0,0.0,0.12446093559265137,1.0622754096984863,0.9123552689432801,0.0,0.0,0.0,0.31321167945861816,1.0849807262420654,0.9123552689432801,0.0,0.0,0.0,0.16163182258605957,0.07841277122497559,0.9125018320386926,1.0,0.0016722408026755853,0.0033388981636060097
36,36,23,342,0.912373403786878,0.0,0.0,0.0,0.1269981861114502,1.0620489120483398,0.912373403786878,0.0,0.0,0.0,0.38849949836730957,1.0892424583435059,0.9087039483340672,0.3563218390804598,0.051926298157453935,0.09064327485380116,0.17438840866088867,0.07865142822265625,0.9120798473506532,0.0,0.0,0.0
37,37,24,351,0.9123915919447303,0.0,0.0,0.0,0.12454438209533691,1.059558391571045,0.9123915919447303,0.0,0.0,0.0,0.2877378463745117,1.0831449031829834,0.9126855798912245,0.5625,0.015100671140939598,0.029411764705882353,0.15569806098937988,0.07801270484924316,0.9126855798912245,1.0,0.003355704697986577,0.006688963210702341
38,38,24,361,0.9122626232886796,0.0,0.0,0.0,0.12457418441772461,1.0598504543304443,0.9122626232886796,0.0,0.0,0.0,0.2867245674133301,1.0767850875854492,0.9122626232886796,0.0,0.0,0.0,0.1568615436553955,0.07837677001953125,0.9116737818342411,0.0,0.0,0.0
39,39,24,371,0.9121332743623766,0.0,0.0,0.0,0.12192368507385254,1.0561633110046387,0.9121332743623766,0.0,0.0,0.0,0.40778422355651855,1.0786032676696777,0.9121332743623766,0.0,0.0,0.0,0.1568922996520996,0.07791328430175781,0.9121332743623766,0.0,0.0,0.0
40,40,24,381,0.9120035434814705,0.0,0.0,0.0,0.12838292121887207,1.054854393005371,0.9120035434814705,0.0,0.0,0.0,0.2935822010040283,1.0779788494110107,0.9055071607854718,0.41338582677165353,0.1761744966442953,0.2470588235294118,0.18107938766479492,0.07896852493286133,0.9120035434814705,0.0,0.0,0.0
41,41,24,391,0.9118734289516487,0.0,0.0,0.0,0.1316545009613037,1.058272361755371,0.9118734289516487,0.0,0.0,0.0,0.28842878341674805,1.0711185932159424,0.8996007688895461,0.3954659949622166,0.2634228187919463,0.3162134944612286,0.17530488967895508,0.07717299461364746,0.910690521957711,0.2777777777777778,0.008389261744966443,0.016286644951140065
42,42,25,400,0.9118910114023397,0.0,0.0,0.0,0.13917326927185059,1.0486958026885986,0.9118910114023397,0.0,0.0,0.0,0.41877031326293945,1.070518970489502,0.9118910114023397,0.0,0.0,0.0,0.16547513008117676,0.07736063003540039,0.9118910114023397,0.5,0.0033613445378151263,0.00667779632721202
43,43,25,410,0.9117603440605072,0.0,0.0,0.0,0.13921380043029785,1.0478785037994385,0.9117603440605072,0.0,0.0,0.0,0.36518359184265137,1.0707981586456299,0.9039003410944684,0.3881856540084388,0.1546218487394958,0.22115384615384612,0.16727042198181152,0.07776570320129395,0.9117603440605072,0.0,0.0,0.0
44,44,26,419,0.911777810782712,0.0,0.0,0.0,0.13857245445251465,1.045799970626831,0.911777810782712,0.0,0.0,0.0,0.34545278549194336,1.0656423568725586,0.9111837219664339,0.4375,0.02356902356902357,0.04472843450479233,0.18674826622009277,0.07741785049438477,0.911777810782712,0.0,0.0,0.0
45,45,26,429,0.9116465863453815,0.0,0.0,0.0,0.14262151718139648,1.0424048900604248,0.9116465863453815,0.0,0.0,0.0,0.36919617652893066,1.064871072769165,0.9116465863453815,0.0,0.0,0.0,0.20928525924682617,0.0774531364440918,0.9116465863453815,0.0,0.0,0.0
46,46,26,439,0.9115149709518844,0.0,0.0,0.0,0.14260363578796387,1.0425608158111572,0.9115149709518844,0.0,0.0,0.0,0.3628833293914795,1.0631194114685059,0.910472218084314,0.4631578947368421,0.07407407407407407,0.12772133526850507,0.19446873664855957,0.07957792282104492,0.9115149709518844,0.0,0.0,0.0
47,47,26,449,0.9113829628524541,0.0,0.0,0.0,0.14623069763183594,1.0439345836639404,0.9113829628524541,0.0,0.0,0.0,0.3868398666381836,1.0636334419250488,0.9113829628524541,0.0,0.0,0.0,0.20523762702941895,0.07768797874450684,0.9113829628524541,0.0,0.0,0.0
48,48,26,459,0.9112505602868669,0.0,0.0,0.0,0.14819025993347168,1.0403916835784912,0.9112505602868669,0.0,0.0,0.0,0.36933183670043945,1.060687780380249,0.9093082324816973,0.24,0.010101010101010102,0.01938610662358643,0.19989442825317383,0.07719063758850098,0.9112505602868669,0.0,0.0,0.0
49,49,27,468,0.9112673948825378,0.0,0.0,0.0,0.15308213233947754,1.0384161472320557,0.9112673948825378,0.0,0.0,0.0,0.3828616142272949,1.0642335414886475,0.9112673948825378,0.0,0.0,0.0,0.21030902862548828,0.07716846466064453,0.9112673948825378,0.0,0.0,0.0
50,50,28,477,0.9112842799340627,0.0,0.0,0.0,0.1556856632232666,1.035879373550415,0.9112842799340627,0.0,0.0,0.0,0.3858816623687744,1.0574417114257812,0.9112842799340627,0.0,0.0,0.0,0.2044696807861328,0.07627463340759277,0.9112842799340627,0.0,0.0,0.0
51,51,29,486,0.9113012156686178,0.0,0.0,0.0,0.15876102447509766,1.0495760440826416,0.9113012156686178,0.0,0.0,0.0,0.4232497215270996,1.0700719356536865,0.9113012156686178,0.0,0.0,0.0,0.20779752731323242,0.07645654678344727,0.9113012156686178,0.0,0.0,0.0
52,52,29,496,0.9111678941830753,0.0,0.0,0.0,0.16083955764770508,1.0331263542175293,0.9111678941830753,0.0,0.0,0.0,0.40309739112854004,1.0575897693634033,0.9021494062828799,0.39285714285714285,0.18612521150592218,0.25258323765786456,0.2143566608428955,0.07640695571899414,0.9111678941830753,0.0,0.0,0.0
53,53,30,505,0.9111847057052537,0.0,0.0,0.0,0.16263270378112793,1.0335350036621094,0.9111847057052537,0.0,0.0,0.0,0.4008817672729492,1.0563561916351318,0.9111847057052537,0.0,0.0,0.0,0.2239081859588623,0.07652449607849121,0.9111847057052537,0.0,0.0,0.0
54,54,31,514,0.9112015679179858,0.0,0.0,0.0,0.16325139999389648,1.0321238040924072,0.9112015679179858,0.0,0.0,0.0,0.44061756134033203,1.0558886528015137,0.9112015679179858,0.0,0.0,0.0,0.3660280704498291,0.07614517211914062,0.9112015679179858,0.0,0.0,0.0
55,55,32,523,0.9112184810508833,0.0,0.0,0.0,0.17343807220458984,1.5103261470794678,0.9112184810508833,0.0,0.0,0.0,0.4083406925201416,1.2138190269470215,0.9112184810508833,0.0,0.0,0.0,0.22568058967590332,0.07604861259460449,0.8912879359806735,0.18269230769230768,0.06462585034013606,0.09547738693467338
56,56,32,533,0.9110842280356873,0.0,0.0,0.0,0.17107462882995605,1.02944016456604,0.9110842280356873,0.0,0.0,0.0,0.4022688865661621,1.0501601696014404,0.9110842280356873,0.0,0.0,0.0,0.22147607803344727,0.07589983940124512,0.9104793588386512,0.375,0.01020408163265306,0.01986754966887417
57,57,33,542,0.9111010146902923,0.0,0.0,0.0,0.17725419998168945,1.0268235206604004,0.9111010146902923,0.0,0.0,0.0,0.4786109924316406,1.059394359588623,0.9111010146902923,0.0,0.0,0.0,0.25237488746643066,0.0757136344909668,0.9111010146902923,0.0,0.0,0.0
58,58,34,551,0.9111178522675565,0.0,0.0,0.0,0.17850351333618164,1.288728952407837,0.9111178522675565,0.0,0.0,0.0,0.4157729148864746,1.12607741355896,0.9105111481874716,0.45652173913043476,0.03583617747440273,0.06645569620253164,0.22640705108642578,0.07648873329162598,0.9111178522675565,0.0,0.0,0.0
59,59,35,560,0.9111347409995443,0.0,0.0,0.0,0.19418072700500488,1.0234851837158203,0.9112866474251861,1.0,0.0017094017094017094,0.0034129692832764505,0.6706533432006836,1.0518906116485596,0.9111347409995443,0.0,0.0,0.0,0.23085808753967285,0.07595682144165039,0.9111347409995443,0.0,0.0,0.0
60,60,35,570,0.910999543587403,0.0,0.0,0.0,0.18012595176696777,1.0221962928771973,0.910999543587403,0.0,0.0,0.0,0.4808037281036377,1.0450801849365234,0.9091738931994523,0.43617021276595747,0.07008547008547009,0.12076583210603829,0.23627996444702148,0.07543587684631348,0.9036969420356001,0.35185185185185186,0.09743589743589744,0.15261044176706828
61,61,35,580,0.9108639341764437,0.0,0.0,0.0,0.17826414108276367,1.2839503288269043,0.9108639341764437,0.0,0.0,0.0,0.4237055778503418,1.0906929969787598,0.9072070699375285,0.4016393442622951,0.08376068376068375,0.13861386138613863,0.240614652633667,0.07620048522949219,0.9108639341764437,0.0,0.0,0.0
62,62,36,589,0.9108805127422555,0.0,0.0,0.0,0.18692755699157715,1.015521764755249,0.9108805127422555,0.0,0.0,0.0,0.4443395137786865,1.0374927520751953,0.9108805127422555,0.0,0.0,0.0,0.23994779586791992,0.07543110847473145,0.9108805127422555,0.0,0.0,0.0
63,63,36,599,0.9107443068928626,0.0,0.0,0.0,0.19066095352172852,1.2489545345306396,0.9107443068928626,0.0,0.0,0.0,0.4480166435241699,1.1270616054534912,0.9107443068928626,0.0,0.0,0.0,0.24328827857971191,0.07653045654296875,0.9107443068928626,0.0,0.0,0.0
64,64,36,609,0.9106076840655135,0.0,0.0,0.0,0.19703984260559082,1.0149500370025635,0.9106076840655135,0.0,0.0,0.0,0.5404574871063232,1.036916732788086,0.9106076840655135,0.0,0.0,0.0,0.24874281883239746,0.07468032836914062,0.9106076840655135,0.0,0.0,0.0
65,65,37,618,0.9106239460370995,0.0,0.0,0.0,0.1881389617919922,1.0157558917999268,0.9107772497317186,1.0,0.0017152658662092624,0.0034246575342465756,0.45861268043518066,1.0307221412658691,0.9110838571209566,0.5652173913043478,0.022298456260720412,0.0429042904290429,0.2544119358062744,0.07582426071166992,0.9106239460370995,0.0,0.0,0.0
66,66,37,628,0.9104867188699524,0.0,0.0,0.0,0.2016613483428955,1.0107662677764893,0.9104867188699524,0.0,0.0,0.0,0.5756900310516357,1.0349617004394531,0.9104867188699524,0.0,0.0,0.0,0.26000547409057617,0.07510948181152344,0.9104867188699524,0.0,0.0,0.0
67,67,38,637,0.9105028448408427,0.0,0.0,0.0,0.1970500946044922,1.0040645599365234,0.9108103952022144,1.0,0.003436426116838488,0.00684931506849315,0.5085234642028809,1.0296502113342285,0.9088113178532985,0.42028985507246375,0.04982817869415808,0.08909370199692782,0.2867133617401123,0.0743703842163086,0.9105028448408427,0.0,0.0,0.0
68,68,39,646,0.9105190204835977,0.0,0.0,0.0,0.19980525970458984,1.005457878112793,0.9108270445094717,1.0,0.0034423407917383822,0.0068610634648370505,0.6509168148040771,1.0283684730529785,0.9105190204835977,0.0,0.0,0.0,0.28219032287597656,0.07430791854858398,0.9105190204835977,0.0,0.0,0.0
69,69,40,655,0.9109979947555145,1.0,0.005172413793103448,0.010291595197255574,0.20526814460754395,1.0001282691955566,0.9111522443313281,1.0,0.006896551724137931,0.0136986301369863,0.5771386623382568,1.0257275104522705,0.9046737621471541,0.3967391304347826,0.12586206896551724,0.19109947643979058,0.2746162414550781,0.0746762752532959,0.9210242171834028,0.5758928571428571,0.44482758620689655,0.5019455252918288
70,70,44,661,0.9110149853236521,0.0,0.0,0.0,0.29651951789855957,1.0022902488708496,0.912559864050672,1.0,0.017361111111111112,0.034129692832764506,0.5984725952148438,1.0238966941833496,0.9110149853236521,0.0,0.0,0.0,0.28859496116638184,0.07439374923706055,0.9110149853236521,0.0,0.0,0.0
71,71,45,670,0.9113414822837691,1.0,0.0034782608695652175,0.006932409012131716,0.21180462837219238,0.9982409477233887,0.9127340244468513,1.0,0.019130434782608695,0.03754266211604095,0.5777390003204346,1.0225515365600586,0.9110320284697508,0.0,0.0,0.0,0.2823774814605713,0.07351565361022949,0.9105678477487235,0.42857142857142855,0.01565217391304348,0.030201342281879196
72,72,47,678,0.9116689911668991,1.0,0.005235602094240838,0.010416666666666668,0.20199012756347656,1.0000255107879639,0.9130636913063691,1.0,0.020942408376963352,0.041025641025641026,0.6087198257446289,1.0190954208374023,0.9094994576166124,0.43820224719101125,0.06806282722513089,0.11782477341389729,0.2953009605407715,0.0744161605834961,0.9112040911204091,0.0,0.0,0.0
73,73,50,685,0.9132391742976874,1.0,0.01929824561403509,0.0378657487091222,0.1857616901397705,0.9998564720153809,0.9137047959025298,1.0,0.02456140350877193,0.04794520547945205,1.0771510601043701,1.0265586376190186,0.9116871022815458,0.6666666666666666,0.0035087719298245615,0.006980802792321117,0.28780293464660645,0.07445907592773438,0.9160329039267422,0.5346062052505967,0.3929824561403509,0.4529828109201213
74,74,60,685,0.9176123115187316,1.0,0.05357142857142857,0.10169491525423728,0.21409344673156738,0.9976613521575928,0.9176123115187316,1.0,0.05357142857142857,0.10169491525423728,0.5348522663116455,1.0209181308746338,0.9261619773045235,0.9775280898876404,0.15535714285714286,0.26810477657935283,0.29076218605041504,0.07374048233032227,0.9129488574537541,0.0,0.0,0.0
75,75,70,685,0.92122061342052,1.0,0.08,0.14814814814814814,0.20019793510437012,0.999150276184082,0.9230888992682547,0.9666666666666667,0.10545454545454545,0.19016393442622953,0.6562271118164062,1.0160977840423584,0.8916394208313873,0.3568627450980392,0.33090909090909093,0.3433962264150944,0.3149087429046631,0.07347369194030762,0.914370231978826,0.0,0.0,0.0
76,76,80,685,0.924060502105099,0.9649122807017544,0.10185185185185185,0.18425460636515914,0.21120047569274902,0.9919991493225098,0.927335100576953,0.9743589743589743,0.14074074074074075,0.24595469255663432,1.151244878768921,1.0159657001495361,0.9111180414782473,0.44565217391304346,0.22777777777777777,0.30147058823529416,0.2960348129272461,0.07353854179382324,0.9157960392951816,0.0,0.0,0.0
77,77,89,686,0.9309698578791191,0.978494623655914,0.1713747645951036,0.2916666666666667,0.22067689895629883,0.9923107624053955,0.9322192722161486,0.9801980198019802,0.1864406779661017,0.31329113924050633,0.9999654293060303,1.1462926864624023,0.9353428080587225,0.9465648854961832,0.2335216572504708,0.37462235649546827,0.2921309471130371,0.0740354061126709,0.9170701233796658,0.0,0.0,0.0
78,78,98,687,0.9289848271547004,0.9857142857142858,0.13218390804597702,0.23310810810810814,0.20723938941955566,0.9894018173217773,0.9358673549194432,0.9827586206896551,0.21839080459770116,0.35736677115987464,1.0620629787445068,1.0090653896331787,0.9324260910370717,0.9411764705882353,0.1839080459770115,0.3076923076923077,0.30428457260131836,0.07429122924804688,0.9183481933364618,0.0,0.0,0.0
79,79,108,687,0.9403101989660034,0.958041958041958,0.267578125,0.4183206106870229,0.2098841667175293,0.9887416362762451,0.9374902083659721,0.9747899159663865,0.2265625,0.3676703645007924,0.9481461048126221,1.0141792297363281,0.9459501801660661,0.9195979899497487,0.357421875,0.5147679324894514,0.5729489326477051,0.07263803482055664,0.9412501958326805,0.6460554371002132,0.591796875,0.617737003058104
80,80,118,687,0.9425702181076416,0.9533333333333334,0.2848605577689243,0.4386503067484663,0.21147465705871582,0.9844939708709717,0.9408441864114232,0.9496402877697842,0.26294820717131473,0.4118564742589703,0.588670015335083,1.0131802558898926,0.9441393378314765,0.8924731182795699,0.33067729083665337,0.48255813953488363,0.5240545272827148,0.0733792781829834,0.9381766828809038,0.651685393258427,0.46215139442231074,0.5407925407925407
81,81,128,687,0.9415370108439416,0.9615384615384616,0.2540650406504065,0.4019292604501608,0.22474312782287598,0.9875161647796631,0.9446801823039447,0.9487179487179487,0.3008130081300813,0.45679012345679015,0.9686386585235596,1.0089530944824219,0.9192204934779192,0.4828125,0.6280487804878049,0.5459363957597173,1.010284662246704,0.07319378852844238,0.9294358007229294,0.6641221374045801,0.17682926829268292,0.27929373996789725
82,82,137,688,0.9530930269164174,0.8838174273858921,0.4409937888198758,0.5883977900552486,0.21749377250671387,0.9814872741699219,0.946954194868566,0.95625,0.3167701863354037,0.47589424572317257,0.8615529537200928,1.0069007873535156,0.9483708484180702,0.8780487804878049,0.37267080745341613,0.5232558139534884,0.6872084140777588,0.07358551025390625,0.9540374626160869,0.6985446985446986,0.6956521739130435,0.6970954356846473
