,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7492934703826905,0.06161799437225425,0.15643835067749023,0.01052425200209778,0.1,{'alpha': 0.1},0.7279151943462897,0.691275167785235,0.6938775510204082,0.7058823529411764,0.7228070175438597,0.7083514567273939,0.014824932594096108,4
1,0.7400047779083252,0.09949674877119288,0.14237508773803711,0.016214511218604927,0.25,{'alpha': 0.25},0.7079037800687286,0.6560509554140127,0.6799999999999999,0.6845637583892618,0.7079037800687286,0.6872844547881464,0.01942323404411517,6
2,0.7368857383728027,0.1633134301122573,0.1512301445007324,0.004695537310748243,0.5,{'alpha': 0.5},0.6843853820598006,0.6437499999999999,0.662379421221865,0.6666666666666666,0.6754098360655738,0.6665182612027812,0.013666307841018356,8
3,0.657236909866333,0.03750977337344542,0.15680737495422364,0.013182680769082555,0.75,{'alpha': 0.75},0.6732026143790849,0.6319018404907976,0.653968253968254,0.6496815286624203,0.6645161290322581,0.654654073306563,0.01402974814856868,10
4,0.7594008445739746,0.09376181581607343,0.1515280246734619,0.004832588979476686,1,{'alpha': 1},0.6688311688311689,0.6280487804878049,0.6477987421383647,0.6415094339622641,0.6498422712933754,0.6472060793425956,0.013224213553785839,11
5,0.7236557006835938,0.09120215036240986,0.12110271453857421,0.02439162148538778,2,{'alpha': 2},0.6645161290322581,0.6167664670658682,0.6375000000000001,0.6375,0.6377708978328174,0.6388106987861889,0.01517388773461559,13
6,0.7186832427978516,0.055122475797651026,0.15046491622924804,0.004433997865413406,3,{'alpha': 3},0.6688311688311689,0.6167664670658682,0.645367412140575,0.6415094339622641,0.6377708978328174,0.6420490759665387,0.016649902027546487,12
7,0.7300282478332519,0.10614402885774785,0.15485095977783203,0.036446127159048436,5,{'alpha': 5},0.691275167785235,0.6455696202531646,0.6622950819672131,0.6666666666666666,0.6645161290322581,0.6660645331409075,0.014646408676964671,9
8,0.5656810760498047,0.06888398081518626,0.11468687057495117,0.02447183685993392,7,{'alpha': 7},0.7183098591549295,0.6601307189542484,0.6688963210702342,0.7034482758620689,0.6822742474916388,0.6866118845066239,0.02155056418023977,7
9,0.6741315841674804,0.02590935751366048,0.15070953369140624,0.005997502194459776,9,{'alpha': 9},0.7318840579710144,0.6802721088435375,0.684931506849315,0.7220216606498194,0.6993006993006993,0.7036820067228772,0.02025092106408874,5
10,0.741689920425415,0.0695852317755607,0.13210811614990234,0.021443019539556615,12,{'alpha': 12},0.7644787644787644,0.7153284671532848,0.7340823970037453,0.7376425855513309,0.7578125,0.741868942837425,0.017597103688502994,2
11,0.6486994743347168,0.019182632859732228,0.1544656276702881,0.0030671641321130118,15,{'alpha': 15},0.7542372881355933,0.7251908396946564,0.7692307692307693,0.725,0.7288135593220338,0.7404944912766106,0.018029771596757383,3
12,0.6743680000305176,0.031392687139687146,0.13476486206054689,0.020863530782849513,20,{'alpha': 20},0.7655502392344498,0.7105263157894738,0.7488151658767772,0.7227722772277227,0.7699530516431926,0.7435234099543233,0.02337146799600581,1
