,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,1.599590826034546,0.025180791076364145,0.1927342891693115,0.0019053280761431866,0.1,poly,"{'C': 0.1, 'kernel': 'poly'}",0.8341232227488151,0.803921568627451,0.8374384236453202,0.8115942028985507,0.8405797101449275,0.8255314256130128,0.014854484463935924,16
3,0.9922432899475098,0.01382177230226754,0.09450592994689941,0.0025397776738219024,1,linear,"{'C': 1, 'kernel': 'linear'}",0.8878048780487806,0.8380952380952381,0.7884615384615384,0.782608695652174,0.8292682926829268,0.8252477285881316,0.038120680210513215,17
4,1.432191514968872,0.022792867808403176,0.31064772605895996,0.009732689575214478,1,rbf,"{'C': 1, 'kernel': 'rbf'}",0.8571428571428571,0.8061224489795918,0.8399999999999999,0.8159203980099502,0.8442211055276382,0.8326813619320074,0.018822320059886787,15
5,1.2295414924621582,0.015550081960600884,0.14437785148620605,0.0015267610428924777,1,poly,"{'C': 1, 'kernel': 'poly'}",0.8682926829268292,0.8040201005025125,0.8571428571428571,0.8461538461538461,0.8627450980392157,0.8476709169530523,0.023021299263349268,1
6,0.9914744853973388,0.024661903525184978,0.08272762298583984,0.0017939050061745166,3,linear,"{'C': 3, 'kernel': 'linear'}",0.8627450980392157,0.8229665071770335,0.7924528301886793,0.7623762376237624,0.82,0.8121081346057382,0.033477994053451456,18
7,1.3898463726043702,0.03650616970466298,0.30710349082946775,0.004607194015827468,3,rbf,"{'C': 3, 'kernel': 'rbf'}",0.8756218905472637,0.8080808080808081,0.8585858585858587,0.8309178743961353,0.8431372549019608,0.8432687373024053,0.023117492054081264,3
8,1.2144991397857665,0.033395411686170724,0.1379927635192871,0.00048621805349466525,3,poly,"{'C': 3, 'kernel': 'poly'}",0.8899521531100479,0.8059701492537313,0.835820895522388,0.8133971291866029,0.8399999999999999,0.8370280654145541,0.029442364089832307,12
9,1.2871520519256592,0.29831918229168797,0.08872737884521484,0.012695659880895958,5,linear,"{'C': 5, 'kernel': 'linear'}",0.8529411764705882,0.8,0.7887323943661971,0.7684729064039408,0.835820895522388,0.8091934745526228,0.030932899694987418,20
10,1.4201716423034667,0.04059251032823261,0.3060890197753906,0.005489803303972579,5,rbf,"{'C': 5, 'kernel': 'rbf'}",0.883495145631068,0.8078817733990147,0.8431372549019608,0.8095238095238095,0.8399999999999999,0.8368075966911706,0.027608301408416455,13
11,1.2631938934326172,0.03410680445506024,0.13917903900146483,0.0027504341874237032,5,poly,"{'C': 5, 'kernel': 'poly'}",0.8899521531100479,0.8159203980099503,0.8415841584158416,0.8229665071770335,0.846938775510204,0.8434723984446155,0.025905802897249024,2
12,1.0192680835723877,0.03288005031588159,0.07666993141174316,0.001811876977884534,7,linear,"{'C': 7, 'kernel': 'linear'}",0.8780487804878048,0.7902439024390243,0.7751196172248804,0.7586206896551724,0.835820895522388,0.8075707770658539,0.0436225344885516,21
